ndc_code,ndc_id
0527-1505-37,238
0527-1505-37,239
0527-1505-37,240
0527-1505-37,241
0527-1505-37,242
0527-1505-37,243
0527-1505-37,244
0527-1505-37,245
0527-1505-37,246
0527-1505-37,247
0527-1505-37,248
0527-1505-37,249
0527-1505-37,250
0517-1004-25,251
0517-1004-25,252
0517-1004-25,253
0517-1004-25,254
0517-1004-25,255
0517-1004-25,256
0517-1004-25,257
0517-1004-25,258
0517-1004-25,259
0517-1004-25,260
0517-1004-25,261
0517-1004-25,262
50222-505-50,263
76045-106-10,264
76045-106-10,265
76045-106-10,266
76045-106-10,267
76045-106-10,268
76045-106-10,269
83090-006-10,270
83090-006-10,271
83090-006-10,272
83090-006-10,273
83090-006-10,274
83090-006-10,275
83090-006-10,276
83090-006-10,277
83090-006-10,278
83090-006-10,279
83090-006-10,280
83090-006-10,281
83090-006-10,282
83090-006-10,283
83090-006-10,284
83090-006-10,285
0990-6139-22,286
0990-6139-22,287
0990-6139-22,288
0990-6139-22,289
0555-0776-02,290
0555-0776-02,291
0555-0776-02,292
0555-0776-02,293
0555-0776-02,294
0555-0776-02,295
0555-0776-02,296
0555-0776-02,297
0555-0776-02,298
0555-0776-02,299
0555-0776-02,300
0555-0776-02,301
0555-0776-02,302
0555-0776-02,303
0555-0776-02,304
0065-0397-15,305
63323-487-17,306
63323-487-17,307
63323-487-17,308
63323-487-17,309
0777-3105-30,310
25021-311-04,311
25021-311-04,312
25021-311-04,313
25021-311-04,314
25021-311-04,315
25021-311-04,316
25021-311-04,317
25021-311-04,318
25021-311-04,319
25021-311-04,320
25021-311-04,321
67457-530-35,322
67457-530-35,323
67457-530-35,324
67457-530-35,325
67457-530-35,326
67457-530-35,327
67457-530-35,328
0169-4060-12,329
0169-4060-12,330
0169-4060-12,331
0169-4060-12,332
0169-4060-12,333
43547-608-10,334
43547-608-10,335
43547-608-10,336
43547-608-10,337
43547-608-10,338
43547-608-10,339
43547-608-10,340
43547-608-10,341
43547-608-10,342
43547-608-10,343
43547-608-10,344
43547-608-10,345
43547-608-10,346
43547-608-10,347
43547-608-10,348
43547-608-10,349
64850-552-01,350
64850-552-01,351
64850-552-01,352
64850-552-01,353
64850-552-01,354
64850-552-01,355
64850-552-01,356
64850-552-01,357
64850-552-01,358
64850-552-01,359
64850-552-01,360
64850-552-01,361
64850-552-01,362
64850-552-01,363
64850-552-01,364
64850-552-01,365
0093-0771-98,366
0169-4772-12,367
79672-613-05,368
79672-613-05,369
79672-613-05,370
79672-613-05,371
79672-613-05,372
79672-613-05,373
79672-613-05,374
79672-613-05,375
79672-613-05,376
79672-613-05,377
79672-613-05,378
79672-613-05,379
79672-613-05,380
79672-613-05,381
79672-613-05,382
79672-613-05,383
79672-613-05,384
79672-613-05,385
79672-613-05,386
79672-613-05,387
79672-613-05,388
79672-613-05,389
79672-613-05,390
79672-613-05,391
79672-613-05,392
79672-613-05,393
66215-101-03,394
0409-1749-29,395
0409-1749-29,396
0409-1749-29,397
0409-1749-29,398
0409-1749-29,399
24208-735-06,400
0591-0844-01,401
0591-0844-01,402
0591-0844-01,403
0264-7750-10,404
0264-7750-10,405
0264-7750-10,406
0264-7750-10,407
0264-7750-10,408
63323-484-57,409
63323-484-57,410
63323-484-57,411
63323-484-57,412
63323-484-57,413
63323-484-57,414
63323-484-57,415
63323-484-57,416
63323-484-57,417
63323-484-57,418
63323-484-57,419
63323-484-57,420
63323-484-57,421
63323-484-57,422
63323-484-57,423
63323-484-57,424
0409-4713-02,425
0409-4713-02,426
0409-4713-02,427
0409-4713-02,428
0409-4713-02,429
0409-4713-02,430
0409-4713-02,431
0409-4713-02,432
0409-4713-02,433
0409-4713-02,434
0409-4713-02,435
0409-4713-02,436
0409-4713-02,437
0409-4713-02,438
0409-4713-02,439
0409-4713-02,440
50742-405-10,441
50742-405-10,442
50742-405-10,443
42806-801-01,444
42806-801-01,445
42806-801-01,446
39822-4200-2,447
39822-4200-2,448
39822-4200-2,449
39822-4200-2,450
39822-4200-2,451
39822-4200-2,452
39822-4200-2,453
39822-4200-2,454
39822-4200-2,455
39822-4200-2,456
39822-4200-2,457
63323-089-50,458
63323-089-50,459
63323-089-50,460
63323-089-50,461
63323-089-50,462
63323-089-50,463
63323-089-50,464
63323-089-50,465
63323-089-50,466
63323-089-50,467
0013-2651-02,468
0013-2651-02,469
0013-2651-02,470
0013-2651-02,471
0013-2651-02,472
0013-2651-02,473
42806-343-01,474
42806-343-01,475
42806-343-01,476
42806-343-01,477
42806-343-01,478
42806-343-01,479
42806-343-01,480
42806-343-01,481
42806-343-01,482
42806-343-01,483
42806-343-01,484
42806-343-01,485
42806-343-01,486
42806-343-01,487
42806-343-01,488
0555-0974-02,489
0555-0974-02,490
0555-0974-02,491
0555-0974-02,492
0555-0974-02,493
0555-0974-02,494
0555-0974-02,495
0555-0974-02,496
0555-0974-02,497
0555-0974-02,498
0555-0974-02,499
0555-0974-02,500
0555-0974-02,501
