ndc_id,ndc_code,location_id
14008,70069-062-25,17
14009,70069-062-25,17
14010,70069-062-25,17
1008,70069-061-10,18
1009,70069-061-10,18
1010,70069-061-10,18
1011,70069-061-10,18
1012,70069-061-10,18
1013,70069-061-10,18
1014,70069-061-10,18
1015,70069-061-10,18
1016,70069-061-10,18
2120,70069-064-10,18
2121,70069-064-10,18
2122,70069-064-10,18
2123,70069-064-10,18
2124,70069-064-10,18
2125,70069-064-10,18
2126,70069-064-10,18
2127,70069-064-10,18
2128,70069-064-10,18
5657,70069-062-10,18
5658,70069-062-10,18
5659,70069-062-10,18
5660,70069-062-10,18
5661,70069-062-10,18
5662,70069-062-10,18
5663,70069-062-10,18
5664,70069-062-10,18
5665,70069-062-10,18
7383,70069-064-25,18
7384,70069-064-25,18
7385,70069-064-25,18
7386,70069-064-25,18
7387,70069-064-25,18
7388,70069-064-25,18
7389,70069-064-25,18
7390,70069-064-25,18
7391,70069-064-25,18
8170,70069-064-01,18
8171,70069-064-01,18
8172,70069-064-01,18
8173,70069-064-01,18
8174,70069-064-01,18
8175,70069-064-01,18
8176,70069-064-01,18
8177,70069-064-01,18
8178,70069-064-01,18
9316,70069-061-25,18
9317,70069-061-25,18
9318,70069-061-25,18
9319,70069-061-25,18
9320,70069-061-25,18
9321,70069-061-25,18
9322,70069-061-25,18
9323,70069-061-25,18
9324,70069-061-25,18
14002,70069-062-25,18
14003,70069-062-25,18
14004,70069-062-25,18
14005,70069-062-25,18
14006,70069-062-25,18
14007,70069-062-25,18
14008,70069-062-25,18
14009,70069-062-25,18
14010,70069-062-25,18
1156,16729-295-31,8
1157,16729-295-31,8
1158,16729-295-31,8
1159,16729-295-31,8
1160,16729-295-31,8
1161,16729-295-31,8
1162,16729-295-31,8
1163,16729-295-31,8
1164,16729-295-31,8
1165,16729-295-31,8
1166,16729-295-31,8
1945,16729-295-33,8
1946,16729-295-33,8
1947,16729-295-33,8
1948,16729-295-33,8
1949,16729-295-33,8
1950,16729-295-33,8
1951,16729-295-33,8
1952,16729-295-33,8
1953,16729-295-33,8
1954,16729-295-33,8
1955,16729-295-33,8
10084,16729-295-12,8
10085,16729-295-12,8
10086,16729-295-12,8
10087,16729-295-12,8
10088,16729-295-12,8
10089,16729-295-12,8
10090,16729-295-12,8
10091,16729-295-12,8
10092,16729-295-12,8
10093,16729-295-12,8
10094,16729-295-12,8
11896,16729-295-34,8
11897,16729-295-34,8
11898,16729-295-34,8
11899,16729-295-34,8
11900,16729-295-34,8
11901,16729-295-34,8
11902,16729-295-34,8
11903,16729-295-34,8
11904,16729-295-34,8
11905,16729-295-34,8
11906,16729-295-34,8
1156,16729-295-31,19
1157,16729-295-31,19
1158,16729-295-31,19
1159,16729-295-31,19
1160,16729-295-31,19
1161,16729-295-31,19
1162,16729-295-31,19
1163,16729-295-31,19
1164,16729-295-31,19
1165,16729-295-31,19
1166,16729-295-31,19
1945,16729-295-33,19
1946,16729-295-33,19
1947,16729-295-33,19
1948,16729-295-33,19
1949,16729-295-33,19
1950,16729-295-33,19
1951,16729-295-33,19
1952,16729-295-33,19
1953,16729-295-33,19
1954,16729-295-33,19
1955,16729-295-33,19
10084,16729-295-12,19
10085,16729-295-12,19
10086,16729-295-12,19
10087,16729-295-12,19
10088,16729-295-12,19
10089,16729-295-12,19
10090,16729-295-12,19
10091,16729-295-12,19
10092,16729-295-12,19
10093,16729-295-12,19
10094,16729-295-12,19
11896,16729-295-34,19
11897,16729-295-34,19
11898,16729-295-34,19
11899,16729-295-34,19
11900,16729-295-34,19
11901,16729-295-34,19
11902,16729-295-34,19
11903,16729-295-34,19
11904,16729-295-34,19
11905,16729-295-34,19
11906,16729-295-34,19
5360,61703-600-05,2
5361,61703-600-05,2
5362,61703-600-05,2
5363,61703-600-05,2
5364,61703-600-05,2
5365,61703-600-05,2
5366,61703-600-05,2
5367,61703-600-05,2
5368,61703-600-05,2
5369,61703-600-05,2
5370,61703-600-05,2
7033,61703-360-18,2
7034,61703-360-18,2
7035,61703-360-18,2
7036,61703-360-18,2
7037,61703-360-18,2
7038,61703-360-18,2
7039,61703-360-18,2
7040,61703-360-18,2
7041,61703-360-18,2
7042,61703-360-18,2
7043,61703-360-18,2
7936,61703-150-05,2
7937,61703-150-05,2
7938,61703-150-05,2
7939,61703-150-05,2
7940,61703-150-05,2
7941,61703-150-05,2
7942,61703-150-05,2
7943,61703-150-05,2
7944,61703-150-05,2
7945,61703-150-05,2
7946,61703-150-05,2
10095,61703-262-05,2
10096,61703-262-05,2
10097,61703-262-05,2
10098,61703-262-05,2
10099,61703-262-05,2
