filename,set_id,fei
10072.xml,c96726ef-f1fa-4ebb-ba33-3479c3902a8e,858971074
1008.xml,ffeadbbf-4ca6-4ed8-94c1-6e0adf7fbe64,079947873
1008.xml,ffeadbbf-4ca6-4ed8-94c1-6e0adf7fbe64,079947873
1008.xml,ffeadbbf-4ca6-4ed8-94c1-6e0adf7fbe64,079947873
1008.xml,ffeadbbf-4ca6-4ed8-94c1-6e0adf7fbe64,677236695
10084.xml,48aa7ef3-9f44-2a08-e054-00144ff88e88,604222237
10084.xml,48aa7ef3-9f44-2a08-e054-00144ff88e88,915837971
10084.xml,48aa7ef3-9f44-2a08-e054-00144ff88e88,915837971
10084.xml,48aa7ef3-9f44-2a08-e054-00144ff88e88,915837971
10095.xml,47677091-fd20-49af-933c-c9dd2be21de9,141588017
10095.xml,47677091-fd20-49af-933c-c9dd2be21de9,758967652
10095.xml,47677091-fd20-49af-933c-c9dd2be21de9,758967652
10095.xml,47677091-fd20-49af-933c-c9dd2be21de9,758967652
10106.xml,30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,051627256
10106.xml,30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,677604197
10106.xml,30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,677604197
10106.xml,30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,677604197
10116.xml,548a88c0-afda-427e-75ac-5af0cfa2224c,141588017
10116.xml,548a88c0-afda-427e-75ac-5af0cfa2224c,030606222
10116.xml,548a88c0-afda-427e-75ac-5af0cfa2224c,030606222
10116.xml,548a88c0-afda-427e-75ac-5af0cfa2224c,030606222
10116.xml,548a88c0-afda-427e-75ac-5af0cfa2224c,093132819
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,005083209
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,059140764
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,059140764
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,059140764
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,091171389
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,189326168
10134.xml,3bb406a9-f5cb-403a-b1bb-5c4facbea3d5,464755693
10139.xml,8b25b7e0-703e-4b43-a4eb-52863511602d,118380146
10139.xml,8b25b7e0-703e-4b43-a4eb-52863511602d,117395980
10139.xml,8b25b7e0-703e-4b43-a4eb-52863511602d,117395980
10139.xml,8b25b7e0-703e-4b43-a4eb-52863511602d,117395980
10145.xml,2f94f711-14c4-48ec-c5a3-c5ec4b8e8729,141588017
10145.xml,2f94f711-14c4-48ec-c5a3-c5ec4b8e8729,093132819
10145.xml,2f94f711-14c4-48ec-c5a3-c5ec4b8e8729,093132819
10145.xml,2f94f711-14c4-48ec-c5a3-c5ec4b8e8729,093132819
10149.xml,f6f64972-714c-4ee9-8a5e-9ffcab41a73b,604222237
10149.xml,f6f64972-714c-4ee9-8a5e-9ffcab41a73b,725927649
10149.xml,f6f64972-714c-4ee9-8a5e-9ffcab41a73b,725927649
10149.xml,f6f64972-714c-4ee9-8a5e-9ffcab41a73b,725927649
10149.xml,f6f64972-714c-4ee9-8a5e-9ffcab41a73b,915837971
10161.xml,9df20901-6980-4d4e-89ec-40f3c1f91852,080548348
10161.xml,9df20901-6980-4d4e-89ec-40f3c1f91852,529111185
10161.xml,9df20901-6980-4d4e-89ec-40f3c1f91852,529111185
