uq_duns,oai_count
3009883410,1
3002657228,1
3009705561,3
3019769008,1
3004397149,2
3017442763,1
3013712903,1
3030396555,1
3007001714,1
3010165406,1
3002463752,2
3019638306,1
3014739297,1
2516287,1
3016665985,2
3004153045,1
3004396086,1
3014773352,1
3005587188,3
3007255059,1
3006283468,1
3001802820,1
3008420443,4
3005350897,12
3015365441,2
3002088200,1
3010999645,1
3014137184,1
3018748915,1
3023533273,2
3021091668,1
3002808145,2
3000215345,1
1000122754,1
3015097434,1
3007687501,1
3029994548,1
3005285276,1
2246566,1
3010892830,2
3007320756,1
1025114,6
3006676534,1
3008461619,1
3008235829,1
3010203410,1
3015282935,1
3017888878,2
3021131560,1
3005274476,1
3014129013,1
3017366969,1
3007373503,1
3010551060,1
1928615,1
3015521757,1
1610434,1
3017151342,1
3009509949,1
1120890,1
2023614,5
3001744192,3
3000241849,1
3005698871,1
3004043340,1
3010222586,3
3006010954,1
3008384335,1
3012821715,1
3005945400,2
3011368010,3
3012281081,1
3002718545,1
1000125370,1
3015305066,1
3025978151,1
3019956301,1
3011006339,4
3024655174,1
3008701241,1
3025796006,1
3026057413,1
3016998650,1
3012668529,1
3003320065,1
1920543,1
3014630458,1
3011851548,1
3010164449,2
3014759234,1
3005668178,1
3010970108,1
3006684386,1
3005835723,1
3007709579,2
3010683345,1
3013736415,1
3011853060,1
3005787511,1
3018061317,1
3016668136,1
3007187282,2
3013374118,3
3004901508,1
3015425659,1
3006210232,3
3001746542,2
3004654754,1
3004107906,2
3005727243,1
3005698544,1
3002692859,1
3002984417,1
1000208853,3
1610391,1
3012275336,3
3002556034,1
2510734,3
3005574978,1
3005753252,1
3002992930,2
3004464535,2
3013239405,1
3003068822,3
3015826784,2
3011139911,1
3003723117,1
3012139887,1
1000025822,3
3027391357,2
3016418266,1
3013501887,1
1000036852,1
3017399141,1
3025983703,1
1618160,1
3003067499,1
3017199840,1
1000122232,3
3027503130,3
3006531950,4
3003229412,4
3003053677,3
3019843904,1
1000069719,4
2310620,2
3005979923,1
3009127711,1
3006057298,1
3005334016,1
3010704905,2
3011320041,1
3011513461,1
3004453700,2
1000305509,1
3010840309,2
3025422586,1
3009713694,2
3018752619,1
3027394593,1
3027349282,1
3005508230,1
3012073956,1
1480885,2
3009946959,3
1000071237,2
3025922936,1
3005280525,2
3005269310,1
3025995723,1
3003974891,1
3008847088,1
3016420687,1
1910648,6
3014469173,4
3000204701,1
2126821,2
3011316404,1
3007267856,1
3013171766,2
