duns_number,uq_duns,count
3008268262,3015766791,1
3008420443,3011849882,2
3005871025,3014324616,1
3005871025,3014616341,1
3012877692,3014466792,1
1000121624,3010166882,1
3012907473,3012034737,1
3011530695,3009968674,2
3009481791,3008316085,1
3008596674,3003407422,8
3011691465,3005339091,1
1946524,3006813597,1
3001746542,3012039582,2
3010943533,3005508657,1
1950348,3012491944,1
1950348,3015536439,1
3018118045,3005977675,2
3018061341,3009223273,1
2510734,3010165627,1
3006900385,3012213311,1
2011035,3003972438,2
3011772828,3012097599,1
3015448605,3003343209,2
1480772,1219592,1
3011692533,3006412304,2
3018101540,3015316526,1
1000121624,3004513714,1
3004378632,3021059,3
3004966182,3010177428,1
3001451695,1417188,2
3010165327,3008846564,1
1915499,3007544618,1
3015451503,3015358337,1
3000204955,3006339577,1
3003693795,3011481600,2
3006895982,3010924627,1
3009744960,3013761135,1
3009744960,3009042626,1
3014538924,3009647084,1
1833240,3002516234,3
3012884265,3003672514,2
3016413581,3015275715,2
1000251214,3007628845,1
1310093,3006114593,1
1413787,3002614375,1
3005351861,3008311641,1
3006701521,3009449945,1
3013024146,3006449177,1
1413475,3003926820,2
2114199,3003808759,1
3010043160,3012104093,2
3010043160,3011084341,1
3017517342,3008350682,1
3017517342,3007271263,3
3000204079,1038251,1
3000204079,3002785310,1
3006271438,3009085684,2
1000446007,3008527957,1
1018573,3013931875,1
3012144557,3007291509,4
3008275696,3008932054,1
3012353600,3003301821,1
1000110912,3013957857,2
3002889358,3015381220,2
3017159096,3003231743,1
3016927347,3005409881,1
3005734706,3007488106,1
1450022,3003849542,1
3007007565,3009093782,1
3010536120,3008250236,4
3003173295,3008695101,1
3000243857,3015248970,1
3002679704,3001504726,2
3000205427,1913592,1
3016458098,3002984011,3
1611206,3015212514,1
1619076,3012053582,1
3003734940,3015213291,1
3014050858,1000136063,1
3003585876,3013345425,1
3004737602,3004536846,1
3011887629,3014877770,1
3005694111,3005619485,1
3013854204,3015173289,1
1910619,3010636005,1
1910619,1000218385,1
3009407408,3014539004,1
3009876430,3002806462,2
3006688078,3015238172,1
1000149906,3008481002,1
1000149906,3014325105,1
3010910756,3003620800,1
3013556857,3004455116,1
3003821988,3010822322,1
3015859129,3012390454,1
3008488415,3002468086,3
3008488415,3010015659,2
3005587188,3013956190,2
3003093882,1921541,1
3012481086,3009727070,1
3003068822,3009271465,1
3014773436,3015163407,1
3015417637,1917801,1
3015417637,3003727322,1
3009658676,3003939253,3
3009658676,3005151215,3
3009992123,1912875,1
3003194604,2523696,1
3013559620,3009864318,2
3007751703,3014824985,1
3005013465,3005781562,3
3003273521,3006372310,2
3004291002,1042599,2
1000149895,3004611182,1
3006691461,2511349,1
1950222,2432212,1
3015554399,3004819820,1
3002808161,3011778211,1
3013171766,3006031801,3
3012228225,1383212,4
3002809586,2650089,2
3010211239,3012448465,1
3002808102,3006370489,1
1931484,3002946837,1
3010810839,3014597434,1
3011430127,3007549629,3
1950348,3010922197,2
1950348,3004712471,2
3010704905,3013558030,1
1000183111,3009729392,1
3015617746,3003483729,4
3015658387,3003112911,1
3002889358,3014601588,1
3004664162,3009469622,1
3006717635,2130055,2
1250045,3003144728,1
3004102002,3011888866,2
3015347707,3001321832,1
3007240297,3003220372,1
3009892875,3014316062,1
3009892875,1000525281,1
3007379141,3009188709,1
3003297374,3012555723,3
3013913234,3014797893,1
3013913234,1641406,1
3013705271,2020632,1
3009167769,3003637491,1
3010589333,1000306857,3
3002807424,3003832984,1
3006895982,3010770024,1
3010960741,3011109313,1
3014982757,3006217304,2
1000208853,2023713,1
1629694,3003380618,6
3004763201,3001606885,1
3008425092,3000719772,1
1000160561,3013207472,1
3002808145,3012315020,1
3015636426,3003139089,1
3012228279,3005216842,2
3006177509,3012375554,2
3008029795,3001237964,1
3005073828,3011513131,1
3005073828,3011780163,1
2435254,3001452204,1
3015667771,3007347008,1
3015667771,3002759467,1
3008307548,3013446837,1
3004841580,3010869933,1
3004841580,3006137363,1
1025483,3004839646,2
3004081307,3007474872,2
3004081307,3010212308,1
3007373532,3002719998,2
3006435023,3011043554,2
2627511,3004132818,3
3015651362,3009499217,2
3011425900,3002901096,1
3011425900,3012174424,1
3015131327,2127118,1
3013162819,3014461693,1
3013162819,3007426960,1
3010033797,1925262,4
3002807512,3006368496,1
3005947959,1000113778,2
3011152407,3005868972,1
3004133725,3002981536,2
3015767533,3009699696,1
3015766791,3010166722,1
3011849882,3009192575,3
3011849882,3003885745,1
3014324616,3008529478,1
3014616341,3011893599,2
3004845420,3014255271,1
3014466792,1053442,2
3012907473,3000206685,1
3010166882,3004475754,1
3012034737,3006800017,1
3009968674,3008694072,1
3008316085,3005000348,1
3003407422,3013217028,2
3005339091,3014480778,1
3006813597,3014454961,1
3012039582,3005089639,2
1000069719,3002908878,3
3005508657,3003780900,2
3012491944,2021236,2
3015536439,3000118564,1
3005977675,3011794780,1
3009223273,3013511339,1
3012030543,3014376767,1
3010165627,3010115702,1
3012213311,3013306140,2
3003972438,3013680093,1
3003972438,3012114283,1
1000028052,1610490,2
3012097599,3006763819,1
3003343209,3014466525,1
3003343209,3014133792,1
3007317099,1000125317,1
3003173295,3002619387,1
1219592,3012124170,2
3006412304,1921719,1
3015316526,3010166805,1
3004513714,3006702034,1
3021059,3011688532,2
3021059,3004002973,3
3002806922,1419498,5
1000121624,3014406964,1
3010177428,3001576415,1
1417188,3009898968,1
3008846564,3004483463,1
3007544618,3012045126,1
3015358337,3008229416,1
1940465,3006621470,1
1910648,3010039727,2
1910648,3004819810,2
3014469173,3012669715,2
3014469173,3006102089,1
3006339577,3008785460,1
3011481600,3000779542,1
3011481600,3012068828,1
3010924627,1000120212,1
3010680515,3013958011,1
3013761135,3005051736,2
3009042626,3003967524,2
3009647084,3013978005,1
3002516234,3006266338,1
3006531950,3003854110,2
3003672514,3008386908,3
3015275715,3011007272,3
3015275715,1051203,1
3007628845,3013658933,1
3006114593,3006585888,1
3015474688,3006528506,1
3002614375,3014248824,1
3006489197,3014264608,1
3014373428,3007998963,1
3008311641,3010165224,1
3009449945,3011060456,1
3006449177,3007808836,1
3003926820,3010421557,1
3003926820,3007124044,1
3003808759,3004483441,4
3012104093,3014291533,1
3011084341,3011769075,1
3011319445,3004982260,2
3011368010,3014188233,1
3026274805,3007934424,2
3013854204,3002754162,2
3015235235,3011596846,1
3008350682,3005693151,1
3007271263,3011783104,1
1038251,2023751,1
1000525249,3003090962,1
3013239969,3003978209,2
3008259785,3005644727,1
3002785310,3004886113,1
3013856804,3001162146,1
3006210769,3004733425,2
3009085684,3013995728,1
3009085684,3011289655,1
3008527957,3013138338,1
3003999190,3004504906,3
3013931875,3006644152,1
3007291509,1000117234,5
3007291509,3005482889,2
3009946959,3011055149,3
3008932054,3004153061,4
3003301821,3000717703,3
3013957857,3012486311,1
3013957857,3012138762,1
3015381220,3007045542,5
3015381220,3001164052,1
3003231743,3003906415,1
3005409881,2242985,4
2023614,3004158845,1
3007488106,3005155593,2
3010241801,3000219354,1
3003849542,3006418686,3
3009093782,3002757783,2
3008250236,3011460262,1
3008695101,3002955163,1
3015248970,3010166895,1
3018116910,3006755618,1
3018116910,3011903543,2
3001504726,3009878984,1
1913592,3013306137,2
3002984011,3012306417,1
3004007943,3009603151,1
3015212514,3004585453,1
3012053582,3002808534,2
3015213291,1972829,2
1000136063,1020139,5
3012223534,3009336980,1
3013345425,3003091092,2
1000119582,3011798296,1
1000119582,3011543431,1
3005117563,3012903349,1
3008302967,3005742706,1
3010972581,3001670917,1
3010972581,3005660579,1
3003053677,3003982646,1
3004536846,3005832998,1
3009127876,3010683157,2
3014877770,3004414652,2
3005619485,3011090864,1
3005976760,3004033751,1
3015173289,3004962092,1
3015252551,3012966715,1
3010636005,3005921257,2
1000218385,3000287309,1
3027503130,3003418287,1
3014539004,3013030904,1
3002806462,3003338476,1
3015238172,3010165567,1
3008481002,1000373305,1
3014325105,3006213806,1
3003620800,3006572203,2
3011772828,3007320708,1
3011772828,3008004582,1
3004455116,3005877120,1
3012937475,1980316,1
3010822322,3004459466,2
3012390454,3000199542,1
3002468086,3011568793,1
3010015659,3005115135,1
2246824,3010247043,1
3013956190,3003610251,1
