ndc_id,ndc_code,location_id
10240,63323-851-50,45
4612,0641-6059-01,46
3618,59417-101-10,49
6108,59417-102-10,49
8289,59417-118-01,49
3622,59417-101-10,51
1028,65862-071-75,4
10307,76045-004-11,58
10343,0409-2344-01,24
1509,76297-001-21,39
1511,76297-001-21,39
1531,76297-001-21,62
2660,76297-001-01,62
1735,43598-975-58,64
6382,0409-9094-22,24
10501,57664-046-88,66
12590,57664-051-88,66
11288,63323-486-27,11
1074,0019-1188-27,74
1064,0019-1188-27,75
11965,0019-1188-81,76
10584,63323-122-50,10
10590,0597-0545-44,79
145,0641-6082-25,46
12832,0409-1312-30,2
1583,0409-1560-29,23
1584,0409-1560-29,85
10767,42571-132-52,87
10818,63323-286-31,11
12062,47781-174-01,94
4786,0338-0049-41,12
4819,0338-0049-10,12
10907,0338-0049-04,12
4796,0338-0049-41,27
10904,0338-0049-04,27
7450,0338-0049-38,26
7463,0338-0049-38,26
9440,0338-0049-11,26
8251,63323-285-61,10
4710,63323-288-11,11
1930,70010-115-01,106
5988,70010-114-01,106
6803,70010-111-01,106
6809,70010-116-01,106
436,0409-4713-02,24
7076,0409-4282-02,24
3145,0409-4713-32,23
5854,0409-4278-01,23
5112,0409-4276-01,85
11939,0409-4277-02,85
12026,0409-4776-01,85
11512,63323-824-76,10
693,71093-130-05,110
13710,13107-073-01,111
1492,63323-492-31,11
1182,0409-2815-01,23
6968,0409-3301-10,23
6978,0409-3301-10,23
12318,0409-1174-10,23
11434,0406-5117-01,117
12106,0406-5113-01,117
13034,0406-5112-01,117
11499,43066-555-24,13
8758,43598-440-01,63
11603,55150-162-05,33
9749,0264-7800-09,120
11628,0264-7800-20,120
8396,0990-7984-23,29
11653,0990-7983-61,29
8338,0990-7984-13,24
4914,64850-502-01,67
2314,0409-1165-02,85
11804,0409-2308-02,24
11828,0409-1966-07,85
1209,0409-2066-05,2
2565,0409-1761-10,85
62,60505-4741-1,71
3681,60505-4745-1,71
55,60505-4741-1,73
12243,55150-324-25,34
9833,63323-411-10,45
12371,63323-411-25,45
3638,55150-249-50,33
12649,55150-254-10,34
2294,16729-525-08,9
2243,0409-1159-10,85
5622,0409-9137-05,24
13168,0409-4904-34,24
13462,63323-455-01,10
9654,63323-452-01,45
13582,0143-9935-01,6
13591,0338-0125-03,12
1360,63323-201-02,10
14023,0409-3795-01,23
945,43547-606-10,167
956,43547-606-10,167
4512,0409-6695-02,2
4214,0338-9543-06,12
3985,0054-0372-25,193
2048,0054-0373-25,194
8145,63323-412-02,10
8669,50458-588-01,215
4479,70121-1389-1,213
7796,63323-280-04,45
961,0574-2420-65,221
3452,0409-4596-20,23
4637,0409-4888-20,85
6727,0409-5160-10,15
6938,0597-0495-60,77
5272,63323-580-20,10
548,0169-2800-15,138
5515,71288-505-03,65
858,55150-440-10,248
8432,55150-313-01,33
7666,55150-221-10,33
9693,16729-239-93,19
8950,57664-048-88,0
934,55150-165-05,33
288,0990-6139-22,24
10082,0409-7037-10,15
1156,16729-295-31,8
10092,16729-295-12,8
9310,72888-152-01,21
7404,0409-1638-02,2
1343,0338-0017-02,26
7593,0338-0023-04,26
1341,0338-0017-02,27
1117,0990-7923-36,30
10145,0409-3182-01,2
7895,0409-3178-01,24
10397,0409-6637-14,24
806,79672-613-01,39
